"Notes"	"State"	"State Code"	"Year"	"Year Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Arkansas"	"05"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	14	3017804	Unreliable	0.0%
	"Arkansas"	"05"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	341	3017804	11.3	0.3%
	"Arkansas"	"05"	"2019"	"2019"	"Assault"	"X85-Y09"	208	3017804	6.9	0.2%
	"Arkansas"	"05"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	364	3030522	12.0	0.3%
	"Arkansas"	"05"	"2020 "	"2020"	"Assault"	"X85-Y09"	282	3030522	9.3	0.2%
	"Arkansas"	"05"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	13	3030522	Unreliable	0.0%
	"California"	"06"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	34	39557045	0.1	0.0%
	"California"	"06"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	1629	39557045	4.1	1.3%
	"California"	"06"	"2018"	"2018"	"Assault"	"X85-Y09"	1275	39557045	3.2	1.0%
	"California"	"06"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	21	39557045	0.1	0.0%
	"California"	"06"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	27	39512223	0.1	0.0%
	"California"	"06"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	1586	39512223	4.0	1.3%
	"California"	"06"	"2019"	"2019"	"Assault"	"X85-Y09"	1246	39512223	3.2	1.0%
	"California"	"06"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	10	39512223	Unreliable	0.0%
	"California"	"06"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	39	39368078	0.1	0.0%
	"California"	"06"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	1552	39368078	3.9	1.3%
	"California"	"06"	"2020 "	"2020"	"Assault"	"X85-Y09"	1731	39368078	4.4	1.4%
	"California"	"06"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	27	39368078	0.1	0.0%
	"Colorado"	"08"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	660	5695564	11.6	0.5%
	"Colorado"	"08"	"2018"	"2018"	"Assault"	"X85-Y09"	188	5695564	3.3	0.2%
	"Colorado"	"08"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	647	5758736	11.2	0.5%
	"Colorado"	"08"	"2019"	"2019"	"Assault"	"X85-Y09"	164	5758736	2.8	0.1%
	"Colorado"	"08"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	654	5807719	11.3	0.5%
	"Colorado"	"08"	"2020 "	"2020"	"Assault"	"X85-Y09"	235	5807719	4.0	0.2%
	"Connecticut"	"09"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	127	3572665	3.6	0.1%
	"Connecticut"	"09"	"2018"	"2018"	"Assault"	"X85-Y09"	54	3572665	1.5	0.0%
	"Connecticut"	"09"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	118	3565287	3.3	0.1%
	"Connecticut"	"09"	"2019"	"2019"	"Assault"	"X85-Y09"	65	3565287	1.8	0.1%
	"Connecticut"	"09"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	109	3557006	3.1	0.1%
	"Connecticut"	"09"	"2020 "	"2020"	"Assault"	"X85-Y09"	101	3557006	2.8	0.1%
	"Delaware"	"10"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	58	967171	6.0	0.0%
	"Delaware"	"10"	"2018"	"2018"	"Assault"	"X85-Y09"	46	967171	4.8	0.0%
	"Delaware"	"10"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	45	973764	4.6	0.0%
	"Delaware"	"10"	"2019"	"2019"	"Assault"	"X85-Y09"	45	973764	4.6	0.0%
	"Delaware"	"10"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	58	986809	5.9	0.0%
	"Delaware"	"10"	"2020 "	"2020"	"Assault"	"X85-Y09"	76	986809	7.7	0.1%
	"District of Columbia"	"11"	"2018"	"2018"	"Assault"	"X85-Y09"	116	702455	16.5	0.1%
	"District of Columbia"	"11"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	12	705749	Unreliable	0.0%
	"District of Columbia"	"11"	"2019"	"2019"	"Assault"	"X85-Y09"	128	705749	18.1	0.1%
	"District of Columbia"	"11"	"2020 "	"2020"	"Assault"	"X85-Y09"	157	712816	22.0	0.1%
	"Florida"	"12"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	16	21299325	Unreliable	0.0%
	"Florida"	"12"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	1869	21299325	8.8	1.5%
	"Florida"	"12"	"2018"	"2018"	"Assault"	"X85-Y09"	977	21299325	4.6	0.8%
	"Florida"	"12"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	16	21299325	Unreliable	0.0%
	"Florida"	"12"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	12	21477737	Unreliable	0.0%
	"Florida"	"12"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	1808	21477737	8.4	1.5%
	"Florida"	"12"	"2019"	"2019"	"Assault"	"X85-Y09"	1010	21477737	4.7	0.8%
	"Florida"	"12"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	14	21477737	Unreliable	0.0%
	"Florida"	"12"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	15	21733312	Unreliable	0.0%
	"Florida"	"12"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	1730	21733312	8.0	1.4%
	"Florida"	"12"	"2020 "	"2020"	"Assault"	"X85-Y09"	1227	21733312	5.6	1.0%
	"Florida"	"12"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	20	21733312	0.1	0.0%
	"Georgia"	"13"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	15	10519475	Unreliable	0.0%
	"Georgia"	"13"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	987	10519475	9.4	0.8%
	"Georgia"	"13"	"2018"	"2018"	"Assault"	"X85-Y09"	644	10519475	6.1	0.5%
	"Georgia"	"13"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	22	10617423	0.2	0.0%
	"Georgia"	"13"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	955	10617423	9.0	0.8%
	"Georgia"	"13"	"2019"	"2019"	"Assault"	"X85-Y09"	691	10617423	6.5	0.6%
	"Georgia"	"13"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	14	10617423	Unreliable	0.0%
	"Georgia"	"13"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	24	10710017	0.2	0.0%
	"Georgia"	"13"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	939	10710017	8.8	0.8%
	"Georgia"	"13"	"2020 "	"2020"	"Assault"	"X85-Y09"	899	10710017	8.4	0.7%
	"Georgia"	"13"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	12	10710017	Unreliable	0.0%
	"Hawaii"	"15"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	30	1420491	2.1	0.0%
	"Hawaii"	"15"	"2018"	"2018"	"Assault"	"X85-Y09"	20	1420491	1.4	0.0%
	"Hawaii"	"15"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	41	1415872	2.9	0.0%
	"Hawaii"	"15"	"2019"	"2019"	"Assault"	"X85-Y09"	14	1415872	Unreliable	0.0%
	"Hawaii"	"15"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	31	1407006	2.2	0.0%
	"Hawaii"	"15"	"2020 "	"2020"	"Assault"	"X85-Y09"	16	1407006	Unreliable	0.0%
	"Idaho"	"16"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	250	1754208	14.3	0.2%
	"Idaho"	"16"	"2018"	"2018"	"Assault"	"X85-Y09"	31	1754208	1.8	0.0%
	"Idaho"	"16"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	223	1787065	12.5	0.2%
	"Idaho"	"16"	"2019"	"2019"	"Assault"	"X85-Y09"	18	1787065	Unreliable	0.0%
	"Idaho"	"16"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	277	1826913	15.2	0.2%
	"Idaho"	"16"	"2020 "	"2020"	"Assault"	"X85-Y09"	26	1826913	1.4	0.0%
	"Illinois"	"17"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	573	12741080	4.5	0.5%
	"Illinois"	"17"	"2018"	"2018"	"Assault"	"X85-Y09"	784	12741080	6.2	0.6%
	"Illinois"	"17"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	16	12671821	Unreliable	0.0%
	"Illinois"	"17"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	540	12671821	4.3	0.4%
	"Illinois"	"17"	"2019"	"2019"	"Assault"	"X85-Y09"	791	12671821	6.2	0.6%
	"Illinois"	"17"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	15	12671821	Unreliable	0.0%
	"Illinois"	"17"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	11	12587530	Unreliable	0.0%
	"Illinois"	"17"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	543	12587530	4.3	0.4%
	"Illinois"	"17"	"2020 "	"2020"	"Assault"	"X85-Y09"	1167	12587530	9.3	0.9%
	"Illinois"	"17"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	15	12587530	Unreliable	0.0%
	"Indiana"	"18"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	10	6691878	Unreliable	0.0%
	"Indiana"	"18"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	588	6691878	8.8	0.5%
	"Indiana"	"18"	"2018"	"2018"	"Assault"	"X85-Y09"	364	6691878	5.4	0.3%
	"Indiana"	"18"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	15	6732219	Unreliable	0.0%
	"Indiana"	"18"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	570	6732219	8.5	0.5%
	"Indiana"	"18"	"2019"	"2019"	"Assault"	"X85-Y09"	355	6732219	5.3	0.3%
	"Indiana"	"18"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	12	6732219	Unreliable	0.0%
	"Indiana"	"18"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	26	6754953	0.4	0.0%
	"Indiana"	"18"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	609	6754953	9.0	0.5%
	"Indiana"	"18"	"2020 "	"2020"	"Assault"	"X85-Y09"	496	6754953	7.3	0.4%
	"Indiana"	"18"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	10	6754953	Unreliable	0.0%
	"Iowa"	"19"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	231	3156145	7.3	0.2%
	"Iowa"	"19"	"2018"	"2018"	"Assault"	"X85-Y09"	37	3156145	1.2	0.0%
	"Iowa"	"19"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	233	3155070	7.4	0.2%
	"Iowa"	"19"	"2019"	"2019"	"Assault"	"X85-Y09"	49	3155070	1.6	0.0%
	"Iowa"	"19"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	260	3163561	8.2	0.2%
	"Iowa"	"19"	"2020 "	"2020"	"Assault"	"X85-Y09"	83	3163561	2.6	0.1%
	"Kansas"	"20"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	292	2911505	10.0	0.2%
	"Kansas"	"20"	"2018"	"2018"	"Assault"	"X85-Y09"	123	2911505	4.2	0.1%
	"Kansas"	"20"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	291	2913314	10.0	0.2%
	"Kansas"	"20"	"2019"	"2019"	"Assault"	"X85-Y09"	99	2913314	3.4	0.1%
	"Kansas"	"20"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	314	2913805	10.8	0.3%
	"Kansas"	"20"	"2020 "	"2020"	"Assault"	"X85-Y09"	160	2913805	5.5	0.1%
	"Kentucky"	"21"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	23	4468402	0.5	0.0%
	"Kentucky"	"21"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	509	4468402	11.4	0.4%
	"Kentucky"	"21"	"2018"	"2018"	"Assault"	"X85-Y09"	207	4468402	4.6	0.2%
	"Kentucky"	"21"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	15	4468402	Unreliable	0.0%
	"Kentucky"	"21"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	21	4467673	0.5	0.0%
	"Kentucky"	"21"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	445	4467673	10.0	0.4%
	"Kentucky"	"21"	"2019"	"2019"	"Assault"	"X85-Y09"	201	4467673	4.5	0.2%
	"Kentucky"	"21"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	21	4477251	0.5	0.0%
	"Kentucky"	"21"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	518	4477251	11.6	0.4%
	"Kentucky"	"21"	"2020 "	"2020"	"Assault"	"X85-Y09"	341	4477251	7.6	0.3%
	"Louisiana"	"22"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	12	4659978	Unreliable	0.0%
	"Louisiana"	"22"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	467	4659978	10.0	0.4%
	"Louisiana"	"22"	"2018"	"2018"	"Assault"	"X85-Y09"	497	4659978	10.7	0.4%
	"Louisiana"	"22"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	11	4659978	Unreliable	0.0%
	"Louisiana"	"22"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	11	4648794	Unreliable	0.0%
	"Louisiana"	"22"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	446	4648794	9.6	0.4%
	"Louisiana"	"22"	"2019"	"2019"	"Assault"	"X85-Y09"	542	4648794	11.7	0.4%
	"Louisiana"	"22"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	15	4645318	Unreliable	0.0%
	"Louisiana"	"22"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	406	4645318	8.7	0.3%
	"Louisiana"	"22"	"2020 "	"2020"	"Assault"	"X85-Y09"	747	4645318	16.1	0.6%
	"Maine"	"23"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	147	1338404	11.0	0.1%
	"Maine"	"23"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	144	1344212	10.7	0.1%
	"Maine"	"23"	"2019"	"2019"	"Assault"	"X85-Y09"	13	1344212	Unreliable	0.0%
	"Maine"	"23"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	132	1350141	9.8	0.1%
	"Maine"	"23"	"2020 "	"2020"	"Assault"	"X85-Y09"	15	1350141	Unreliable	0.0%
	"Maryland"	"24"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	266	6042718	4.4	0.2%
	"Maryland"	"24"	"2018"	"2018"	"Assault"	"X85-Y09"	426	6042718	7.0	0.3%
	"Maryland"	"24"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	268	6045680	4.4	0.2%
	"Maryland"	"24"	"2019"	"2019"	"Assault"	"X85-Y09"	468	6045680	7.7	0.4%
	"Maryland"	"24"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	267	6055802	4.4	0.2%
	"Maryland"	"24"	"2020 "	"2020"	"Assault"	"X85-Y09"	526	6055802	8.7	0.4%
	"Massachusetts"	"25"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	148	6902149	2.1	0.1%
	"Massachusetts"	"25"	"2018"	"2018"	"Assault"	"X85-Y09"	104	6902149	1.5	0.1%
	"Massachusetts"	"25"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	142	6892503	2.1	0.1%
	"Massachusetts"	"25"	"2019"	"2019"	"Assault"	"X85-Y09"	95	6892503	1.4	0.1%
	"Massachusetts"	"25"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	134	6893574	1.9	0.1%
	"Massachusetts"	"25"	"2020 "	"2020"	"Assault"	"X85-Y09"	130	6893574	1.9	0.1%
	"Michigan"	"26"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	806	9995915	8.1	0.7%
	"Michigan"	"26"	"2018"	"2018"	"Assault"	"X85-Y09"	479	9995915	4.8	0.4%
	"Michigan"	"26"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	10	9995915	Unreliable	0.0%
	"Michigan"	"26"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	742	9986857	7.4	0.6%
	"Michigan"	"26"	"2019"	"2019"	"Assault"	"X85-Y09"	458	9986857	4.6	0.4%
	"Michigan"	"26"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	761	9966555	7.6	0.6%
	"Michigan"	"26"	"2020 "	"2020"	"Assault"	"X85-Y09"	672	9966555	6.7	0.5%
	"Michigan"	"26"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	10	9966555	Unreliable	0.0%
	"Minnesota"	"27"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	356	5611179	6.3	0.3%
	"Minnesota"	"27"	"2018"	"2018"	"Assault"	"X85-Y09"	66	5611179	1.2	0.1%
	"Minnesota"	"27"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	350	5639632	6.2	0.3%
	"Minnesota"	"27"	"2019"	"2019"	"Assault"	"X85-Y09"	102	5639632	1.8	0.1%
	"Minnesota"	"27"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	354	5657342	6.3	0.3%
	"Minnesota"	"27"	"2020 "	"2020"	"Assault"	"X85-Y09"	138	5657342	2.4	0.1%
	"Mississippi"	"28"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	28	2986530	0.9	0.0%
	"Mississippi"	"28"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	313	2986530	10.5	0.3%
	"Mississippi"	"28"	"2018"	"2018"	"Assault"	"X85-Y09"	320	2986530	10.7	0.3%
	"Mississippi"	"28"	"2018"	"2018"	"Event of undetermined intent"	"Y10-Y34"	13	2986530	Unreliable	0.0%
	"Mississippi"	"28"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	18	2976149	Unreliable	0.0%
	"Mississippi"	"28"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	308	2976149	10.3	0.3%
	"Mississippi"	"28"	"2019"	"2019"	"Assault"	"X85-Y09"	366	2976149	12.3	0.3%
	"Mississippi"	"28"	"2019"	"2019"	"Event of undetermined intent"	"Y10-Y34"	13	2976149	Unreliable	0.0%
	"Mississippi"	"28"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	25	2966786	0.8	0.0%
	"Mississippi"	"28"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	278	2966786	9.4	0.2%
	"Mississippi"	"28"	"2020 "	"2020"	"Assault"	"X85-Y09"	499	2966786	16.8	0.4%
	"Mississippi"	"28"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	12	2966786	Unreliable	0.0%
	"Missouri"	"29"	"2018"	"2018"	"Other external causes of accidental injury"	"W00-X59"	10	6126452	Unreliable	0.0%
	"Missouri"	"29"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	726	6126452	11.9	0.6%
	"Missouri"	"29"	"2018"	"2018"	"Assault"	"X85-Y09"	556	6126452	9.1	0.5%
	"Missouri"	"29"	"2019"	"2019"	"Other external causes of accidental injury"	"W00-X59"	21	6137428	0.3	0.0%
	"Missouri"	"29"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	681	6137428	11.1	0.6%
	"Missouri"	"29"	"2019"	"2019"	"Assault"	"X85-Y09"	537	6137428	8.7	0.4%
	"Missouri"	"29"	"2020 "	"2020"	"Other external causes of accidental injury"	"W00-X59"	17	6151548	Unreliable	0.0%
	"Missouri"	"29"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	704	6151548	11.4	0.6%
	"Missouri"	"29"	"2020 "	"2020"	"Assault"	"X85-Y09"	683	6151548	11.1	0.6%
	"Missouri"	"29"	"2020 "	"2020"	"Event of undetermined intent"	"Y10-Y34"	13	6151548	Unreliable	0.0%
	"Montana"	"30"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	160	1062305	15.1	0.1%
	"Montana"	"30"	"2018"	"2018"	"Assault"	"X85-Y09"	20	1062305	1.9	0.0%
	"Montana"	"30"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	172	1068778	16.1	0.1%
	"Montana"	"30"	"2019"	"2019"	"Assault"	"X85-Y09"	24	1068778	2.2	0.0%
	"Montana"	"30"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	189	1080577	17.5	0.2%
	"Montana"	"30"	"2020 "	"2020"	"Assault"	"X85-Y09"	33	1080577	3.1	0.0%
	"Nebraska"	"31"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	145	1929268	7.5	0.1%
	"Nebraska"	"31"	"2018"	"2018"	"Assault"	"X85-Y09"	25	1929268	1.3	0.0%
	"Nebraska"	"31"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	154	1934408	8.0	0.1%
	"Nebraska"	"31"	"2019"	"2019"	"Assault"	"X85-Y09"	40	1934408	2.1	0.0%
	"Nebraska"	"31"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	139	1937552	7.2	0.1%
	"Nebraska"	"31"	"2020 "	"2020"	"Assault"	"X85-Y09"	49	1937552	2.5	0.0%
	"Nevada"	"32"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	367	3034392	12.1	0.3%
	"Nevada"	"32"	"2018"	"2018"	"Assault"	"X85-Y09"	158	3034392	5.2	0.1%
	"Nevada"	"32"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	354	3080156	11.5	0.3%
	"Nevada"	"32"	"2019"	"2019"	"Assault"	"X85-Y09"	118	3080156	3.8	0.1%
	"Nevada"	"32"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	372	3138259	11.9	0.3%
	"Nevada"	"32"	"2020 "	"2020"	"Assault"	"X85-Y09"	148	3138259	4.7	0.1%
	"New Hampshire"	"33"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	135	1356458	10.0	0.1%
	"New Hampshire"	"33"	"2018"	"2018"	"Assault"	"X85-Y09"	13	1356458	Unreliable	0.0%
	"New Hampshire"	"33"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	132	1359711	9.7	0.1%
	"New Hampshire"	"33"	"2019"	"2019"	"Assault"	"X85-Y09"	20	1359711	1.5	0.0%
	"New Hampshire"	"33"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	118	1366275	8.6	0.1%
	"New Jersey"	"34"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	193	8908520	2.2	0.2%
	"New Jersey"	"34"	"2018"	"2018"	"Assault"	"X85-Y09"	218	8908520	2.4	0.2%
	"New Jersey"	"34"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	173	8882190	1.9	0.1%
	"New Jersey"	"34"	"2019"	"2019"	"Assault"	"X85-Y09"	193	8882190	2.2	0.2%
	"New Jersey"	"34"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	181	8882371	2.0	0.1%
	"New Jersey"	"34"	"2020 "	"2020"	"Assault"	"X85-Y09"	253	8882371	2.8	0.2%
	"New Mexico"	"35"	"2018"	"2018"	"Intentional self-harm"	"X60-X84"	281	2095428	13.4	0.2%
	"New Mexico"	"35"	"2018"	"2018"	"Assault"	"X85-Y09"	136	2095428	6.5	0.1%
	"New Mexico"	"35"	"2019"	"2019"	"Intentional self-harm"	"X60-X84"	284	2096829	13.5	0.2%
	"New Mexico"	"35"	"2019"	"2019"	"Assault"	"X85-Y09"	158	2096829	7.5	0.1%
	"New Mexico"	"35"	"2020 "	"2020"	"Intentional self-harm"	"X60-X84"	303	2106319	14.4	0.2%
