"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Nebraska"	"31"	"2018"	"2018"	16904	1929268	876.2	0.2%
	"Nebraska"	"31"	"2019"	"2019"	16970	1934408	877.3	0.2%
	"Nebraska"	"31"	"2020 "	"2020"	19549	1937552	1009.0	0.2%
	"Nevada"	"32"	"2018"	"2018"	24715	3034392	814.5	0.3%
	"Nevada"	"32"	"2019"	"2019"	25586	3080156	830.7	0.3%
	"Nevada"	"32"	"2020 "	"2020"	30618	3138259	975.6	0.3%
	"New Hampshire"	"33"	"2018"	"2018"	12774	1356458	941.7	0.1%
	"New Hampshire"	"33"	"2019"	"2019"	12744	1359711	937.3	0.1%
	"New Hampshire"	"33"	"2020 "	"2020"	13700	1366275	1002.7	0.2%
	"New Jersey"	"34"	"2018"	"2018"	75765	8908520	850.5	0.8%
	"New Jersey"	"34"	"2019"	"2019"	75010	8882190	844.5	0.8%
	"New Jersey"	"34"	"2020 "	"2020"	96003	8882371	1080.8	1.1%
	"New Mexico"	"35"	"2018"	"2018"	19007	2095428	907.1	0.2%
	"New Mexico"	"35"	"2019"	"2019"	19512	2096829	930.5	0.2%
	"New Mexico"	"35"	"2020 "	"2020"	23807	2106319	1130.3	0.3%
	"New York"	"36"	"2018"	"2018"	157183	19542209	804.3	1.7%
	"New York"	"36"	"2019"	"2019"	156375	19453561	803.8	1.7%
	"New York"	"36"	"2020 "	"2020"	203341	19336776	1051.6	2.2%
	"North Carolina"	"37"	"2018"	"2018"	93885	10383620	904.2	1.0%
	"North Carolina"	"37"	"2019"	"2019"	95881	10488084	914.2	1.1%
	"North Carolina"	"37"	"2020 "	"2020"	109449	10600823	1032.5	1.2%
	"North Dakota"	"38"	"2018"	"2018"	6445	760077	847.9	0.1%
	"North Dakota"	"38"	"2019"	"2019"	6702	762062	879.5	0.1%
	"North Dakota"	"38"	"2020 "	"2020"	8052	765309	1052.1	0.1%
	"Ohio"	"39"	"2018"	"2018"	124264	11689442	1063.0	1.4%
	"Ohio"	"39"	"2019"	"2019"	123717	11689100	1058.4	1.4%
	"Ohio"	"39"	"2020 "	"2020"	143700	11693217	1228.9	1.6%
	"Oklahoma"	"40"	"2018"	"2018"	40933	3943079	1038.1	0.5%
	"Oklahoma"	"40"	"2019"	"2019"	40930	3956971	1034.4	0.5%
	"Oklahoma"	"40"	"2020 "	"2020"	47809	3980783	1201.0	0.5%
	"Oregon"	"41"	"2018"	"2018"	36187	4190713	863.5	0.4%
	"Oregon"	"41"	"2019"	"2019"	37370	4217737	886.0	0.4%
	"Oregon"	"41"	"2020 "	"2020"	40220	4241507	948.2	0.4%
	"Pennsylvania"	"42"	"2018"	"2018"	134702	12807060	1051.8	1.5%
	"Pennsylvania"	"42"	"2019"	"2019"	133983	12801989	1046.6	1.5%
	"Pennsylvania"	"42"	"2020 "	"2020"	155546	12783254	1216.8	1.7%
	"Rhode Island"	"44"	"2018"	"2018"	10083	1057315	953.6	0.1%
	"Rhode Island"	"44"	"2019"	"2019"	10256	1059361	968.1	0.1%
	"Rhode Island"	"44"	"2020 "	"2020"	11819	1057125	1118.0	0.1%
	"South Carolina"	"45"	"2018"	"2018"	50640	5084127	996.0	0.6%
	"South Carolina"	"45"	"2019"	"2019"	50962	5148714	989.8	0.6%
	"South Carolina"	"45"	"2020 "	"2020"	61223	5218040	1173.3	0.7%
	"South Dakota"	"46"	"2018"	"2018"	7971	882235	903.5	0.1%
	"South Dakota"	"46"	"2019"	"2019"	8270	884659	934.8	0.1%
	"South Dakota"	"46"	"2020 "	"2020"	9861	892717	1104.6	0.1%
	"Tennessee"	"47"	"2018"	"2018"	71078	6770010	1049.9	0.8%
	"Tennessee"	"47"	"2019"	"2019"	71935	6829174	1053.3	0.8%
	"Tennessee"	"47"	"2020 "	"2020"	84205	6886834	1222.7	0.9%
	"Texas"	"48"	"2018"	"2018"	202211	28701845	704.5	2.2%
	"Texas"	"48"	"2019"	"2019"	203362	28995881	701.3	2.2%
	"Texas"	"48"	"2020 "	"2020"	250339	29360759	852.6	2.8%
	"Utah"	"49"	"2018"	"2018"	18354	3161105	580.6	0.2%
	"Utah"	"49"	"2019"	"2019"	18736	3205958	584.4	0.2%
	"Utah"	"49"	"2020 "	"2020"	21497	3249879	661.5	0.2%
	"Vermont"	"50"	"2018"	"2018"	6027	626299	962.3	0.1%
	"Vermont"	"50"	"2019"	"2019"	5956	623989	954.5	0.1%
	"Vermont"	"50"	"2020 "	"2020"	6459	623347	1036.2	0.1%
	"Virginia"	"51"	"2018"	"2018"	69359	8517685	814.3	0.8%
	"Virginia"	"51"	"2019"	"2019"	70325	8535519	823.9	0.8%
	"Virginia"	"51"	"2020 "	"2020"	80596	8590563	938.2	0.9%
	"Washington"	"53"	"2018"	"2018"	56877	7535591	754.8	0.6%
	"Washington"	"53"	"2019"	"2019"	58263	7614893	765.1	0.6%
	"Washington"	"53"	"2020 "	"2020"	63146	7693612	820.8	0.7%
	"West Virginia"	"54"	"2018"	"2018"	23478	1805832	1300.1	0.3%
	"West Virginia"	"54"	"2019"	"2019"	23404	1792147	1305.9	0.3%
	"West Virginia"	"54"	"2020 "	"2020"	26106	1784787	1462.7	0.3%
	"Wisconsin"	"55"	"2018"	"2018"	53684	5813568	923.4	0.6%
	"Wisconsin"	"55"	"2019"	"2019"	54189	5822434	930.7	0.6%
	"Wisconsin"	"55"	"2020 "	"2020"	62706	5832655	1075.1	0.7%
	"Wyoming"	"56"	"2018"	"2018"	5070	577737	877.6	0.1%
	"Wyoming"	"56"	"2019"	"2019"	5121	578759	884.8	0.1%
	"Wyoming"	"56"	"2020 "	"2020"	5983	582328	1027.4	0.1%
"---"
"Dataset: Underlying Cause of Death, 2018-2020, Single Race"
"Query Parameters:"
"Title: Underlying Cause of Death cdc - Grp by State, ICD Sub-Chapter.gov"
"Group By: State; Year"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Dec 4, 2022 10:02:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Dec 4, 2022 10:02:32 PM"
"---"
Caveats:
"1. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race estimates"
"of the July 1 resident population, from the Vintage 2019 postcensal series released by the Census Bureau on June 25, 2020. The"
"population figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal"
"series released by the Census Bureau on June 20, 2019."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
